Year,Team,Rank,Name,Pos,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,url,player_id
2018,넥센_키움,6,초이스,18  RF,1.69,2.26,-0.57,96,397,396,349,55,90,19,0,17,160,61,2,1,33,10,2,79,4,0,5,0.258,0.335,0.458,0.793,0.011,109.5,/player/?m=playerinfo&p_no=13007,13007
2018,넥센_키움,7,임병욱,18  CF,1.65,1.53,0.12,134,447,447,423,76,124,29,3,13,198,60,16,3,22,0,1,119,6,0,2,0.293,0.327,0.468,0.795,-0.018,89.3,/player/?m=playerinfo&p_no=11226,11226
2018,넥센_키움,8,이택근,18  CF,1.03,2.02,-0.99,104,356,353,308,40,95,25,1,4,134,52,1,0,32,9,0,44,14,3,4,0.308,0.385,0.435,0.820,0.012,110.3,/player/?m=playerinfo&p_no=10493,10493
2018,넥센_키움,9,김규민,18  LF,0.39,0.96,-0.57,104,336,335,298,47,88,9,2,3,110,40,8,4,27,6,0,89,3,1,4,0.295,0.361,0.369,0.730,-0.022,86.2,/player/?m=playerinfo&p_no=10868,10868
2018,넥센_키움,10,고종욱,18  LF,-0.22,0.47,-0.68,102,351,349,330,47,92,22,0,6,132,54,17,4,15,1,1,96,2,1,4,0.279,0.309,0.400,0.709,-0.042,72.1,/player/?m=playerinfo&p_no=10659,10659
2018,NC,1,나성범,18  RF,5.18,4.58,0.60,144,620,617,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5,0.318,0.381,0.518,0.899,0.027,120.7,/player/?m=playerinfo&p_no=11162,11162
2018,NC,2,박민우,18  2B,3.17,2.76,0.41,115,460,456,411,68,133,22,5,5,180,33,17,5,32,10,3,51,4,3,4,0.324,0.383,0.438,0.821,0.014,111.5,/player/?m=playerinfo&p_no=11137,11137
2018,NC,3,김성욱,18  CF,1.71,0.74,0.97,111,358,356,323,49,84,13,2,13,140,45,11,2,29,1,0,64,10,2,3,0.260,0.320,0.433,0.753,-0.031,80.1,/player/?m=playerinfo&p_no=11153,11153
2018,NC,4,노진혁,18  SS,1.71,1.15,0.57,125,458,457,420,52,119,21,4,11,181,42,4,3,33,2,0,92,8,1,2,0.283,0.337,0.431,0.768,-0.022,86.2,/player/?m=playerinfo&p_no=11165,11165
2018,NC,5,권희동,18  LF,1.66,1.31,0.35,104,391,384,343,43,97,19,1,8,142,57,1,3,35,4,2,58,5,5,4,0.283,0.352,0.414,0.766,-0.013,92.9,/player/?m=playerinfo&p_no=11172,11172
2018,NC,6,스크럭스,18  1B,1.45,2.62,-1.16,142,571,570,501,75,129,35,0,26,242,97,3,2,55,12,2,144,14,0,3,0.257,0.343,0.483,0.826,0.000,101.9,/player/?m=playerinfo&p_no=12947,12947
2018,NC,7,박석민,18  3B,1.11,1.75,-0.64,103,375,373,318,40,81,14,1,16,145,55,1,0,39,15,4,80,11,0,3,0.255,0.360,0.456,0.816,0.003,104.1,/player/?m=playerinfo&p_no=10322,10322
