Year,Team,Rank,Name,Pos,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,url,player_id
2019,KT,1,쿠에바스,19  P,3.30,30,30,0,0,0,0,13,10,0,0,184.0,74,80,78.65,760,153,21,6,18,63,12,0,135,9,0,4,3.62,3.91,3.85,3.89,4.40,1.17,/player/?m=playerinfo&p_no=13942,13942
2019,KT,2,알칸타라,19  P,2.98,27,27,0,1,1,0,11,11,0,0,172.2,77,80,75.55,724,189,39,3,15,27,8,0,100,7,2,2,4.01,4.17,3.94,3.99,4.02,1.25,/player/?m=playerinfo&p_no=13941,13941
2019,KT,3,배제성,19  P,2.11,28,21,7,4,1,1,10,10,0,0,131.2,55,58,58.55,564,132,18,3,6,56,3,0,91,4,0,10,3.76,3.96,4.00,4.04,4.01,1.43,/player/?m=playerinfo&p_no=11394,11394
2019,KT,4,김민,19  P,0.85,27,26,1,0,0,0,6,12,0,0,150.2,83,88,85.60,674,175,26,4,16,65,4,0,91,4,2,4,4.96,5.26,5.11,5.06,4.98,1.59,/player/?m=playerinfo&p_no=13167,13167
2020,삼성,1,뷰캐넌,20  P,5.71,27,27,0,1,1,0,15,7,0,0,174.2,67,71,69.45,728,172,19,2,16,50,7,0,121,12,0,2,3.45,3.66,3.58,3.30,4.36,1.27,/player/?m=playerinfo&p_no=14617,14617
2020,삼성,2,최채흥,20  P,4.22,26,26,0,1,1,1,11,6,0,0,146.0,58,67,64.75,617,131,27,1,12,51,7,0,123,9,3,3,3.58,4.13,3.99,3.75,4.10,1.25,/player/?m=playerinfo&p_no=13156,13156
2020,삼성,3,라이블리,20  P,2.98,21,21,0,0,0,0,6,7,0,0,112.0,53,54,54.00,478,98,16,1,11,39,12,0,95,7,0,2,4.26,4.34,4.34,4.19,4.45,1.22,/player/?m=playerinfo&p_no=14232,14232
2020,삼성,4,원태인,20  P,2.44,27,26,1,1,0,0,6,10,0,0,140.0,76,84,81.95,626,162,32,1,19,56,5,2,78,7,0,6,4.89,5.40,5.27,4.90,5.55,1.56,/player/?m=playerinfo&p_no=14113,14113
2020,KIA,1,브룩스,20  P,7.93,23,23,0,1,1,1,11,4,0,0,151.1,42,43,42.15,586,131,18,0,4,24,3,0,130,8,1,3,2.50,2.56,2.51,2.56,2.72,1.02,/player/?m=playerinfo&p_no=14610,14610
2020,KIA,2,양현종,20  P,4.87,31,31,0,0,0,0,11,10,0,0,172.1,90,99,92.85,746,180,40,4,13,64,5,0,149,6,0,7,4.70,5.17,4.85,4.74,3.97,1.42,/player/?m=playerinfo&p_no=10058,10058
2020,KIA,3,가뇽,20  P,4.68,28,28,0,0,0,0,11,8,0,0,159.2,77,86,82.60,702,162,33,8,7,64,9,0,141,9,0,13,4.34,4.85,4.66,4.61,3.73,1.42,/player/?m=playerinfo&p_no=14609,14609
